,verbatimScientificName,verbatimElement,scientificName,element,elementID
784,"Mammal, Large",,Mammalia,,
785,"Mammal, Large",rib,Mammalia,rib,UBERON:0002228
786,"Mammal, Large",vertebral,Mammalia,,
787,"Mammal, Large",unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
788,Mammal,,Mammalia,,
789,Bos taurus,tibia,Bos taurus,tibia,UBERON:0000979
790,Bos taurus,cubonavicular,Bos taurus,tarsal: cubonavicular,
791,Bos taurus,lunar,Bos taurus,carpal: lunate,UBERON:0001428
792,Bos taurus,scaphoid,Bos taurus,carpal: scaphoid,UBERON:0001427
793,Bos taurus,cuneiform,Bos taurus,tarsal: cuneiform,UBERON:0010721
794,Bos taurus,astragalus,Bos taurus,plastron: xiphiplastron,UBERON:0011661
795,Bos taurus,humerus,Bos taurus,humerus,UBERON:0000976
796,Bos taurus,mandible,Bos taurus,mandible,UBERON:0003278
797,Bos taurus,radius,Bos taurus,radius,UBERON:0001423
798,Bos taurus,tooth,Bos taurus,tooth,UBERON:0001091
799,Sus scrofa,tooth,Sus scrofa,tooth,UBERON:0001091
800,Sus scrofa,proximal tibia epiphysis,Sus scrofa,,
801,Ariidae,spine,Ariidae,,
802,Ariidae,neurocranium,Ariidae,,
803,Ariidae,vertebra,Ariidae,vertebra,UBERON:0002412
804,Ariidae,post temporal,Ariidae,,
805,Sciaenidae,articular,Sciaenidae,,
806,Cynoscion sp.,otolith,Cynoscion,,
807,Cynoscion sp.,vertebra,Cynoscion,vertebra,UBERON:0002412
808,Sparidae,premaxilla,Sparidae,,
809,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
810,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
811,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
812,Paralichthys sp.,vertebra,Paralichthys,vertebra,UBERON:0002412
813,Unidentified fish,,,,
814,Unidentified fish,scale,,scale,UBERON:0002542
815,Unidentified,,Animalia,,
816,Bos taurus,humerus,Bos taurus,humerus,UBERON:0000976
817,Bos taurus,tibia,Bos taurus,tibia,UBERON:0000979
818,Bos taurus,magnam,Bos taurus,,
819,Bos taurus,sesamoids,Bos taurus,,
820,Bos taurus,mandible,Bos taurus,mandible,UBERON:0003278
821,Bos taurus,ulna,Bos taurus,ulna,UBERON:0001424
822,Bos taurus,tooth,Bos taurus,tooth,UBERON:0001091
823,Bos taurus,humerus,Bos taurus,humerus,UBERON:0000976
824,Bos taurus,astragulus,Bos taurus,,
825,Bos taurus,Magnum,Bos taurus,Magnum,UBERON:0001432
826,Bos taurus,unciform,Bos taurus,,
827,Bos taurus,temporal,Bos taurus,,
828,Bos taurus,entocuneiform,Bos taurus,,
829,Bos taurus,lechium,Bos taurus,,
830,Bos taurus,temporal,Bos taurus,,
831,Bos taurus,entocuneiform,Bos taurus,,
832,Bos taurus,Hyoid,Bos taurus,,
833,Bos taurus,temporal,Bos taurus,,
834,Bos taurus,premolar,Bos taurus,,
835,Bos taurus,premolar,Bos taurus,,
836,Bos taurus,Molar,Bos taurus,Molar,UBERON:0003655
837,Bos taurus,premolar,Bos taurus,,
838,Bos taurus,incison,Bos taurus,,
839,Bos taurus,mandible,Bos taurus,mandible,UBERON:0003278
840,Bos taurus,mandible,Bos taurus,mandible,UBERON:0003278
841,Bos taurus,trapezoid,Bos taurus,,
842,Large Mammal,vertebrae,Mammalia,vertebra,UBERON:0002412
843,Large Mammal,epiphysial,Mammalia,,
844,Large Mammal,unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
845,Large Mammal,rib,Mammalia,rib,UBERON:0002228
846,Large Mammal,rib,Mammalia,rib,UBERON:0002228
847,Large Mammal,unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
848,Large Mammal,mandible,Mammalia,mandible,UBERON:0003278
849,Large Mammal,skull,Mammalia,,
850,Mammal,unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
851,Aves,unidentified,Aves,unidentified skeletal element,UBERON:0004765
852,Amia Calva,vertebrae,Amia calva,vertebra,UBERON:0002412
853,Ariidae,fin,Ariidae,,
854,Mugil sp.,vertebral,Mugil,,
855,Osteichthyes,unidentified,Osteichthyes,unidentified skeletal element,UBERON:0004765
856,Didelphis Marsupialis,vertebrae,Didelphis marsupialis,vertebra,UBERON:0002412
857,Didelphis Marsupialis,molars,Didelphis marsupialis,molar,UBERON:0003655
858,Didelphis Marsupialis,mandible,Didelphis marsupialis,mandible,UBERON:0003278
859,Bos taurus,calcaneum,Bos taurus,tarsal: calcaneus,UBERON:0001450
860,Bos taurus,phalanx,Bos taurus,phalanx,UBERON:0003221
861,Bos taurus,cubonavicular,Bos taurus,tarsal: cubonavicular,
862,Bos taurus,Hyoid,Bos taurus,,
863,Bos taurus,Lunar,Bos taurus,Lunar,UBERON:0001428
864,Bos taurus,cuneiform,Bos taurus,tarsal: cuneiform,UBERON:0010721
865,Bos taurus,Fibula,Bos taurus,Fibula,UBERON:0001446
866,Bos taurus,unciform,Bos taurus,,
867,Bos taurus,Tibia,Bos taurus,Tibia,UBERON:0000979
868,Bos taurus,acetabulum,Bos taurus,innominate: acetabulum,UBERON:0001272
869,Bos taurus,magnum,Bos taurus,carpal: magnum,UBERON:0001432
870,Bos taurus,Lunar,Bos taurus,Lunar,UBERON:0001428
871,Bos taurus,scaphoid,Bos taurus,carpal: scaphoid,UBERON:0001427
872,Bos taurus,Trapezoid,Bos taurus,,
873,Bos taurus,scapula,Bos taurus,scapula,UBERON:0006849
874,Bos taurus,Radius and Ulna,Bos taurus,,
875,Bos taurus,axis,Bos taurus,,
876,Bos taurus,atlas,Bos taurus,,
877,Bos taurus,Molar,Bos taurus,Molar,UBERON:0003655
878,Bos taurus,incison,Bos taurus,,
879,Sus scrofa,scapula,Sus scrofa,scapula,UBERON:0006849
880,Sus scrofa,molars,Sus scrofa,molar,UBERON:0003655
881,Large Mammal,unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
882,Large Mammal,vertebrae,Mammalia,vertebra,UBERON:0002412
883,Large Mammal,Ribs,Mammalia,,
884,Large Mammal,,Mammalia,,
885,Large Mammal,Phalanx,Mammalia,Phalanx,UBERON:0003221
886,Mammal,unidentified,Mammalia,unidentified skeletal element,UBERON:0004765
887,Aves,vertebral,Aves,,
888,Aves,phalanx,Aves,phalanx,UBERON:0003221
889,Aves,rib,Aves,rib,UBERON:0002228
890,Aves,interclavicle,Aves,,
891,Aves,humerus,Aves,humerus,UBERON:0000976
892,Aves,tibiotarsal,Aves,,
893,Aves,ulna,Aves,ulna,UBERON:0001424
894,Aves,unidentified,Aves,unidentified skeletal element,UBERON:0004765
895,Gallus gallus,radius,Gallus gallus,radius,UBERON:0001423
896,Gallus gallus,tibiotarsal,Gallus gallus,,
897,Gallus gallus,tibiotarsal,Gallus gallus,,
898,Chelonidae,limb,Cheloniidae,,
899,Ariidae,vertebrae,Ariidae,vertebra,UBERON:0002412
900,Ariidae,pectoral,Ariidae,,
901,Ariidae,otolith,Ariidae,,
902,Ariidae,corocoid,Ariidae,,
903,Ariidae,pterygiophore,Ariidae,,
904,Arius Felis,spine,Arius felis,,
905,Arius Felis,pectoral,Arius felis,,
906,Arius Felis,pectoral,Arius felis,,
907,Arius Felis,cleithrum,Arius felis,,
908,Arius Felis,cleithrum,Arius felis,,
909,Arius Felis,vertebral,Arius felis,,
910,Bagre marinus,skull,Bagre marinus,,
911,Bagre marinus,dentary,Bagre marinus,dentary,UBERON:0004742
912,Bagre marinus,dentary,Bagre marinus,dentary,UBERON:0004742
913,Bagre marinus,occipitals,Bagre marinus,,
914,Bagre marinus,operculum,Bagre marinus,,
915,Mugil sp.,vertebrae,Mugil,vertebra,UBERON:0002412
916,Mugil sp.,operculum,Mugil,,
917,Mugil sp.,operculum,Mugil,,
918,Mugil sp.,hyomandibular,Mugil,,
919,Mugil sp.,hyomandibular,Mugil,,
920,Sciaenidae,vertebral,Sciaenidae,,
921,Sciaenidae,dentary,Sciaenidae,dentary,UBERON:0004742
922,Sciaenidae,dentary,Sciaenidae,dentary,UBERON:0004742
923,Opsanus beta,skull,Opsanus beta,,
924,Opsanus beta,vertebra,Opsanus beta,vertebra,UBERON:0002412
925,Opsanus beta,dentary,Opsanus beta,dentary,UBERON:0004742
926,Opsanus beta,unidentified,Opsanus beta,unidentified skeletal element,UBERON:0004765
927,Osteichthyes,unidentified,Osteichthyes,unidentified skeletal element,UBERON:0004765
